episode_id,start_idx,end_idx,num_steps,action_variance,action_delta_mean,action_path_length,state_path_length,length_score,action_var_score,difficulty_score_mean,rank_length_easy_to_hard,rank_action_var_easy_to_hard,rank_mean_easy_to_hard
0,0,161,161,8581.0517578125,8.130044937133789,1300.8072509765625,1247.741455078125,0.5685279187817259,0.6711803375426976,0.6198541281622117,177,184,185
1,161,279,118,6827.1943359375,9.537846565246582,1115.9281005859375,1063.489501953125,0.350253807106599,0.5007879149320135,0.4255208610193062,95,138,115
2,279,420,141,4666.0830078125,6.4589948654174805,904.25927734375,856.1561279296875,0.467005076142132,0.2908295738845754,0.37891732501335373,140,51,94
3,420,579,159,5104.6435546875,8.463193893432617,1337.1845703125,1232.6806640625,0.5583756345177665,0.33343702481613907,0.44590632966695276,172,69,123
4,579,738,159,4092.400390625,8.55787181854248,1352.143798828125,1265.497802734375,0.5583756345177665,0.2350946151969344,0.39673512485735046,173,33,100
5,738,895,157,4956.82177734375,7.20225715637207,1123.5521240234375,1032.462158203125,0.5482233502538071,0.3190757030564197,0.43364952665511336,170,60,117
6,895,964,69,4457.958984375,7.780980587005615,529.106689453125,484.4422302246094,0.10152284263959391,0.27060971101847875,0.18606627682903631,11,43,19
7,964,1133,169,5720.37451171875,8.741446495056152,1468.56298828125,1358.56689453125,0.6091370558375635,0.3932571037669052,0.5011970798022344,186,102,153
8,1133,1213,80,6664.58935546875,10.816672325134277,854.5171508789062,780.2433471679688,0.15736040609137056,0.484990361376598,0.3211753837339843,23,131,61
9,1213,1347,134,4935.2001953125,8.81121826171875,1171.89208984375,1110.424560546875,0.43147208121827413,0.31697510257599887,0.3742235918971365,123,58,92
10,1347,1535,188,7650.66796875,8.787101745605469,1643.1881103515625,1500.58837890625,0.7055837563451777,0.5807908076990534,0.6431872820221156,198,165,193
11,1535,1684,149,6439.0615234375,7.410391330718994,1096.7379150390625,1043.051025390625,0.5076142131979695,0.46307966716243687,0.4853469401802032,156,124,141
12,1684,1824,140,10309.251953125,9.959807395935059,1384.4132080078125,1296.419921875,0.4619289340101523,0.8390800849011472,0.6505045094556497,137,200,195
13,1824,1949,125,8501.3505859375,8.397309303283691,1041.266357421875,963.5966796875,0.38578680203045684,0.6634371335676713,0.524611967799064,107,182,167
14,1949,2056,107,9994.380859375,10.467618942260742,1109.567626953125,1018.5592041015625,0.29441624365482233,0.8084894292383962,0.5514528364466093,70,199,173
15,2056,2209,153,5696.572265625,12.946070671081543,1967.802734375,1720.97412109375,0.5279187817258884,0.39094464533960965,0.45943171353274903,164,100,130
16,2209,2335,126,5037.015625,10.215249061584473,1276.9061279296875,1151.26513671875,0.39086294416243655,0.32686677193704305,0.3588648580497398,111,64,87
17,2335,2437,102,3453.97021484375,8.223451614379883,830.568603515625,760.7957763671875,0.26903553299492383,0.17306924017937195,0.22105238658714788,56,18,27
18,2437,2523,86,4296.68212890625,7.024226665496826,597.0592651367188,555.7562866210938,0.18781725888324874,0.2549411887249305,0.22137922380408961,32,40,28
19,2523,2598,75,4362.46484375,9.022798538208008,667.6870727539062,612.9978637695312,0.1319796954314721,0.2613321735383661,0.19665593448491908,17,42,25
20,2598,2740,142,8544.1298828125,7.90665864944458,1114.8388671875,1014.90625,0.4720812182741117,0.6675932684627873,0.5698372433684495,143,183,177
21,2740,2855,115,4700.4619140625,10.536946296691895,1201.2119140625,1140.1163330078125,0.3350253807106599,0.29416958604838095,0.3145974833795204,88,52,58
22,2855,2964,109,7874.9560546875,11.639759063720703,1257.093994140625,1163.9205322265625,0.30456852791878175,0.6025810569228172,0.45357479242079946,74,171,127
23,2964,3074,110,4519.58056640625,10.260066032409668,1118.34716796875,1052.4818115234375,0.3096446700507614,0.27659642950337276,0.2931205497770671,77,49,50
24,3074,3172,98,6070.119140625,10.823163032531738,1049.8468017578125,957.0919189453125,0.24873096446700507,0.4272358262509145,0.33798339535895977,49,113,73
25,3172,3305,133,4112.39013671875,6.793303966522217,896.7161254882812,851.29345703125,0.4263959390862944,0.23703667800192862,0.3317163085441115,120,34,65
26,3305,3463,158,5805.83837890625,9.230325698852539,1449.1611328125,1341.4412841796875,0.5532994923857868,0.40156017059213645,0.4774298314889616,171,105,139
27,3463,3575,112,5266.4658203125,8.446035385131836,937.5098876953125,852.2916259765625,0.3197969543147208,0.34915853531538793,0.3344777448150544,80,81,70
28,3575,3682,107,4026.73046875,9.05672836303711,960.0132446289062,891.262451171875,0.29441624365482233,0.22871458855316476,0.26156541610399353,71,30,36
29,3682,3797,115,5585.38818359375,9.457401275634766,1078.143798828125,1032.67333984375,0.3350253807106599,0.38014278376479804,0.357584082237729,89,95,85
30,3797,3881,84,3804.82470703125,7.231500625610352,600.2145385742188,565.5535888671875,0.17766497461928935,0.20715578915537547,0.1924103818873324,30,24,21
31,3881,3976,95,4817.4765625,7.907488822937012,743.303955078125,697.4903564453125,0.233502538071066,0.3055379043503827,0.26952022121072433,44,55,41
32,3976,4124,148,7673.41796875,9.823103904724121,1443.996337890625,1362.8179931640625,0.5025380710659898,0.5830010373140976,0.5427695541900437,152,166,171
33,4124,4244,120,6421.00390625,9.450531959533691,1124.61328125,1067.934814453125,0.3604060913705584,0.4613253163806812,0.4108657038756198,100,123,106
34,4244,4386,142,8478.095703125,9.018199920654297,1271.566162109375,1172.4693603515625,0.4720812182741117,0.6611778530979321,0.5666295356860219,144,181,176
35,4386,4529,143,9674.390625,7.370495319366455,1046.6103515625,990.3836059570312,0.47715736040609136,0.7774014339618891,0.6272793971839903,146,195,186
36,4529,4671,142,5617.72802734375,7.941512584686279,1119.7532958984375,1060.597900390625,0.4720812182741117,0.38328469499126616,0.42768295663268896,145,97,116
37,4671,4792,121,8103.1591796875,7.990213871002197,958.82568359375,913.5465087890625,0.36548223350253806,0.6247516637413058,0.4951169486219219,101,177,145
38,4792,4978,186,10398.919921875,7.830844879150391,1448.706298828125,1312.215087890625,0.6954314720812182,0.847791592595745,0.7716115323384816,194,201,205
39,4978,5077,99,7573.994140625,8.722031593322754,854.7590942382812,810.766845703125,0.25380710659898476,0.5733417191003424,0.41357441284966356,52,164,108
40,5077,5216,139,6638.8701171875,12.818903923034668,1769.0087890625,1657.865478515625,0.45685279187817257,0.4824916615029455,0.469672226690559,134,130,134
41,5216,5289,73,4463.6162109375,10.233945846557617,736.8441162109375,703.1666259765625,0.1218274111675127,0.27115932726847664,0.19649336921799465,15,45,24
42,5289,5425,136,5525.8798828125,10.960898399353027,1479.7213134765625,1358.589599609375,0.4416243654822335,0.3743613767877575,0.4079928711349955,126,93,104
43,5425,5543,118,5563.876953125,9.073457717895508,1061.5946044921875,992.8026123046875,0.350253807106599,0.3780529042642235,0.36415335568541124,96,94,90
44,5543,5670,127,4201.7373046875,10.06042766571045,1267.6138916015625,1170.876953125,0.39593908629441626,0.24571701895422984,0.32082805262432307,114,37,60
45,5670,5822,152,4316.75048828125,9.02392292022705,1362.6123046875,1251.1395263671875,0.5228426395939086,0.25689088904211616,0.38986676431801237,161,41,98
46,5822,5905,83,3175.93896484375,10.477031707763672,859.1165771484375,813.4901123046875,0.17258883248730963,0.14605768401859232,0.15932325825295096,27,16,14
47,5905,6014,109,5778.88427734375,9.142213821411133,987.3590698242188,917.6172485351562,0.30456852791878175,0.39894150010772567,0.3517550140132537,75,103,79
