episode_id,start_idx,end_idx,num_steps,mean_one_step_l2,mean_one_step_mse,mean_rollout_l2_h3,one_step_score,rollout_score,predictive_hardness_score,rank_predictive_easy_to_hard
0,0,161,161,1.785848425142467,0.7673985761124641,4.239645082739335,0.063136555,0.0912596,0.07719807,15
1,161,279,118,2.4309444228808084,1.534470875421141,5.548531355028567,0.2658716,0.24275285,0.25431222,101
2,279,420,141,1.65893145352602,0.607194580057902,3.7855622496293937,0.023250217,0.03870309,0.030976653,2
3,420,579,159,2.1602457690088053,1.3759170142532904,4.933388180457628,0.18079884,0.17155488,0.17617686,49
4,579,738,159,2.2684715058230145,1.2548687374572964,5.300442906526419,0.21481106,0.21403857,0.21442482,70
5,738,895,157,1.971029625298121,0.9755398488531892,4.710490595210683,0.121333666,0.14575624,0.13354495,31
6,895,964,69,2.1556765362620354,1.2165648060960366,5.041903125517296,0.17936286,0.18411463,0.18173875,51
7,964,1133,169,2.29251627145069,1.25699698086828,5.773235296628561,0.22236764,0.26876056,0.2455641,94
8,1133,1213,80,2.028989431978781,1.0427066204197044,4.358323243531314,0.13954876,0.10499565,0.12227221,26
9,1213,1347,134,2.140960071992157,1.128600408337114,5.160508036613464,0.1747379,0.19784221,0.18629006,55
10,1347,1535,188,2.5949506678364496,1.7135575589708945,5.967855069443986,0.31741405,0.29128626,0.30435014,131
11,1535,1684,149,2.263572525736448,1.2881911700792812,5.342177920962033,0.21327145,0.21886908,0.21607026,72
12,1684,1824,140,2.627568104713083,1.8487290017601612,6.19517165814003,0.32766476,0.31759635,0.32263055,147
13,1824,1949,125,2.234109281532226,1.2734482184412979,5.187325751195188,0.204012,0.20094615,0.20247908,64
14,1949,2056,107,2.2576990757348403,1.2262119594609961,5.150612792143455,0.2114256,0.19669692,0.20406127,65
15,2056,2209,153,2.4294665326413356,1.56959396086045,5.111780368089676,0.26540715,0.19220237,0.22880477,85
16,2209,2335,126,2.6584027590751647,1.8271337334513664,6.934222170977089,0.3373552,0.40313563,0.3702454,171
17,2335,2437,102,1.8507182232224115,0.802281697861629,3.9680919803754247,0.083523266,0.05982947,0.071676366,10
18,2437,2523,86,2.386590093023637,1.4193852054064764,6.1398080946451215,0.25193232,0.31118846,0.2815604,118
19,2523,2598,75,2.231919139623642,1.2162426034542355,5.465500295162201,0.2033237,0.23314266,0.21823318,76
20,2598,2740,142,1.9889018827296319,1.0934244390867702,4.640594373075224,0.1269504,0.13766631,0.13230836,30
21,2740,2855,115,2.271777042694259,1.3692341297538133,5.458341219595501,0.21584989,0.23231405,0.22408196,79
22,2855,2964,109,2.513862408421658,1.514104904262004,5.577100510867137,0.29193035,0.2460595,0.26899493,109
23,2964,3074,110,3.290953211281278,3.1035813713155753,8.2887434023563,0.53614753,0.5599108,0.5480292,200
24,3074,3172,98,2.48707015797035,1.4463876940540432,5.783933245508295,0.2835103,0.26999876,0.27675453,112
25,3172,3305,133,2.100094552292968,1.0137256694336731,4.920635080337524,0.16189505,0.17007881,0.16598693,45
26,3305,3463,158,3.094280678565335,2.6070481704631048,7.7458761949693,0.47433904,0.49707818,0.4857086,191
27,3463,3575,112,2.0979746102212786,1.1740540305639173,4.89744770526886,0.1612288,0.16739506,0.16431193,43
28,3575,3682,107,1.9340269157908998,0.9071742334526103,4.426616684748576,0.10970478,0.112900086,0.111302435,21
29,3682,3797,115,2.549952176579258,1.5285133469784469,5.88230307825974,0.3032723,0.2813843,0.2923283,123
30,3797,3881,84,2.6089015244001366,1.5784433835960296,5.957352960551226,0.32179838,0.2900707,0.30593455,134
31,3881,3976,95,1.924522507380932,0.9418695315005298,4.663218680931174,0.10671782,0.1402849,0.12350136,27
32,3976,4124,148,3.032195596265144,2.320514905842997,7.4378797925751785,0.4548275,0.46143,0.45812875,188
33,4124,4244,120,2.025478217281213,1.097124362160929,4.74154551110716,0.13844529,0.14935061,0.14389795,34
34,4244,4386,142,2.3576708816467447,1.5967174072928252,5.710787099042385,0.24284385,0.26153266,0.25218827,99
35,4386,4529,143,2.4224806637831136,1.4788455265298697,5.716473512138639,0.2632117,0.26219082,0.26270127,106
36,4529,4671,142,2.106697976377839,1.2450879647162023,4.7444772355848075,0.1639703,0.14968993,0.15683012,39
37,4671,4792,121,2.933401914437612,2.14573892786478,7.650590300559998,0.4237795,0.48604956,0.4549145,187
38,4792,4978,186,2.261229209803246,1.3268514531740063,5.3536399583347505,0.21253502,0.22019571,0.21636537,73
39,4978,5077,99,1.9845883335386003,0.9157331258970864,4.558973303685586,0.12559478,0.12821932,0.12690705,28
40,5077,5216,139,3.3886036911736364,2.8363973401162936,8.413316844140782,0.5668363,0.57432914,0.57058275,202
41,5216,5289,73,2.232914092640082,1.279784445443915,4.825703764813287,0.2036364,0.15909126,0.18136382,50
