epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
80,0.01645329147025845,0.01546872843894662,0.0009845630184657599,0.052055517427231135,9.54679431664147e-06,B,42,0.9977215509674168,0.9989088483698688,1.0,1.0,1.0,0.9932927953390291,0.9697295093118263,0.9963881609229296,0.7125868938850762,0.5512401276089862,0.9919763488262348,0.6540823972534169,0.9983151996686428,0.88692962331475
81,0.016973188008902896,0.016074611836200674,0.0008985761726108377,0.05089311804295632,9.539728747860569e-06,B,42,,,,,,,,,,,,,,
82,0.01631707164759345,0.015493622446698961,0.0008234492067996786,0.04609875418082403,9.527960547773295e-06,B,42,,,,,,,,,,,,,,
83,0.015822787615218076,0.014900219792760449,0.0009225677939325673,0.049502869306557014,9.511501330172341e-06,B,42,,,,,,,,,,,,,,
84,0.016252460874664632,0.015397528947131972,0.0008549319025686973,0.0478468913838202,9.490367338318335e-06,B,42,,,,,,,,,,,,,,
85,0.015794545004331466,0.01497088890504894,0.0008236560990040203,0.04966748040823037,9.464579428909698e-06,B,42,,,,,,,,,,,,,,
86,0.01649702247111513,0.01556015268418057,0.0009368697808785134,0.05569621258366265,9.434163051499606e-06,B,42,,,,,,,,,,,,,,
87,0.016373074889417732,0.015468049178149127,0.0009050257053590657,0.048875862196610685,9.399148223380346e-06,B,42,,,,,,,,,,,,,,
88,0.016488165891338644,0.015614965641956503,0.0008732002439904483,0.05098458798438833,9.359569499959885e-06,B,42,,,,,,,,,,,,,,
89,0.01583473732725805,0.014987354231976044,0.0008473830839285507,0.04655262922639387,9.31546594065984e-06,B,42,,,,,,,,,,,,,,
90,0.016383777077694495,0.015491661865953386,0.0008921152020615919,0.05550839928093187,9.26688107036855e-06,B,42,1.0,0.9874621418712887,0.9337220730222545,1.0,0.7041649779567473,0.9597008096266346,1.0,1.0,1.0,0.9746422505737073,0.9533587389751413,0.8043020013417514,0.9937310709356444,0.9329890851496238
91,0.01579811136738473,0.014887223843597632,0.0009108875305161965,0.05460552591993882,9.213862836487273e-06,B,42,,,,,,,,,,,,,,
92,0.015278399320103175,0.014411176772557193,0.0008672225457763108,0.056263832774078634,9.156463561611879e-06,B,42,,,,,,,,,,,,,,
93,0.01565082817484344,0.014756373072412917,0.0008944550781874846,0.04838220472856049,9.094739891896774e-06,B,42,,,,,,,,,,,,,,
94,0.015480865274412644,0.014606835764993957,0.0008740295202455905,0.04929742462312182,9.028752741151975e-06,B,42,,,,,,,,,,,,,,
95,0.015948615675935807,0.015114627983927967,0.0008339877127521517,0.04807777536314046,8.958567230728543e-06,B,42,,,,,,,,,,,,,,
96,0.0154844203515389,0.01465885439090003,0.0008255659622671118,0.05119455484673381,8.884252625251669e-06,B,42,,,,,,,,,,,,,,
97,0.015377317009145762,0.014436592342860424,0.0009407246702830541,0.052645982555195425,8.805882264264844e-06,B,42,,,,,,,,,,,,,,
98,0.014917288413453265,0.01409378975085421,0.0008234986588493838,0.054300726456731035,8.723533489852595e-06,B,42,,,,,,,,,,,,,,
99,0.015363752173721802,0.014611990888606003,0.0007517612702389615,0.05222351456289751,8.63728757031318e-06,B,42,,,,,,,,,,,,,,
