epoch,train_loss,train_loss_diff,train_loss_freq,val_loss,lr,group,seed,train/sim_max_reward_0,train/sim_max_reward_1,test/sim_max_reward_10000,test/sim_max_reward_10001,test/sim_max_reward_10002,test/sim_max_reward_10003,test/sim_max_reward_10004,test/sim_max_reward_10005,test/sim_max_reward_10006,test/sim_max_reward_10007,test/sim_max_reward_10008,test/sim_max_reward_10009,train/mean_score,test/mean_score
0,0.10577896873702843,0.10577896873702843,0.0,0.06840951068228797,9.997532801828658e-05,D,42,0.19177582721989545,0.0006754812217992413,0.0,0.0,0.0,0.03187271525242837,0.4167996005972125,0.55859170173455,0.013784646749934784,0.005126954580326935,0.005548493785968121,0.0,0.09622565422084735,0.10317241127004206
1,0.06065181290739746,0.0606416235596203,1.0189418281408342e-05,0.06228250293224527,9.990133642141359e-05,D,42,,,,,,,,,,,,,,
2,0.056680872898245825,0.056663559906428275,1.731304845952836e-05,0.05613169459005197,9.977809823015401e-05,D,42,,,,,,,,,,,,,,
3,0.054131499155939955,0.054106458718554254,2.5040398187857674e-05,0.051443520410541906,9.960573506572391e-05,D,42,,,,,,,,,,,,,,
4,0.05104875251460684,0.05101948147090048,2.9271052220723e-05,0.04760494601438966,9.93844170297569e-05,D,42,,,,,,,,,,,,,,
5,0.04851023920186375,0.04847304364131612,3.7195515554476096e-05,0.052533931337427675,9.911436253643445e-05,D,42,,,,,,,,,,,,,,
6,0.04679294002199311,0.04675322490041716,3.9715185044389854e-05,0.043897166586758796,9.879583809693738e-05,D,42,,,,,,,,,,,,,,
7,0.044868041400647644,0.04482269668773387,4.534474440702164e-05,0.04783994334896929,9.842915805643157e-05,D,42,,,,,,,,,,,,,,
8,0.044069846370517377,0.044022487148945556,4.7359139481221595e-05,0.044915359081667765,9.801468428384717e-05,D,42,,,,,,,,,,,,,,
9,0.04179645920739743,0.04174800632979002,4.8452834032164346e-05,0.04655451722312392,9.75528258147577e-05,D,42,,,,,,,,,,,,,,
10,0.041614817795187733,0.041556784405597326,5.8033382141834254e-05,0.04070256827889304,9.70440384477113e-05,D,42,0.5657878077726086,0.5063434743291649,0.0,0.6637009339636257,0.7559188743252677,0.5569534750160063,0.6340412408993509,0.7280907773389551,0.8152015961242678,0.005126954580326935,0.36035051671973783,0.3891115293282749,0.5360656410508868,0.4908495898295813
11,0.040502228432496866,0.04043747961559768,6.474883547564843e-05,0.041802825579387054,9.64888242944126e-05,D,42,,,,,,,,,,,,,,
12,0.040554054395222895,0.0404906557416885,6.339861873969716e-05,0.0436525806261782,9.588773128419907e-05,D,42,,,,,,,,,,,,,,
13,0.03873097437487372,0.038662835439084844,6.813895803740404e-05,0.04057744211076122,9.5241352623301e-05,D,42,,,,,,,,,,,,,,
14,0.03899706080125161,0.03892872120443868,6.833967419105034e-05,0.03913263949777996,9.455032620941843e-05,D,42,,,,,,,,,,,,,,
15,0.03831825696304737,0.038241982628982006,7.627436171719673e-05,0.040073287362853684,9.381533400219321e-05,D,42,,,,,,,,,,,,,,
16,0.03731720935014125,0.03723505889830526,8.215044656034997e-05,0.042522234423902995,9.303710135019722e-05,D,42,,,,,,,,,,,,,,
17,0.036435370122942554,0.03635868898992452,7.66811186895066e-05,0.04038710466406324,9.22163962751008e-05,D,42,,,,,,,,,,,,,,
18,0.03585264348964158,0.035781466611920956,7.117686711202741e-05,0.03913865248721681,9.135402871372814e-05,D,42,,,,,,,,,,,,,,
19,0.03616453339293765,0.036081255398366895,8.327795685574436e-05,0.03600296562929687,9.045084971874742e-05,D,42,,,,,,,,,,,,,,
20,0.034955570308649035,0.03487664690661575,7.892342089913304e-05,0.03795424537373739,8.950775061878456e-05,D,42,0.6825286460843253,0.9582021062079565,0.9901895785542635,0.6990003818278808,0.7087988042970096,0.6325663881525976,0.693603950633476,0.625383684974493,0.8783762820972701,0.307883669399072,0.6782987587162548,0.27721625724943355,0.8203653761461409,0.6491317755901751
21,0.03348462610688221,0.033403784262782864,8.084181875461579e-05,0.03888743083858699,8.852566213878951e-05,D,42,,,,,,,,,,,,,,
22,0.03392781073077503,0.033849118376207174,7.869237344023762e-05,0.037363301972417454,8.750555348152303e-05,D,42,,,,,,,,,,,,,,
23,0.03376328434826334,0.03368061328488008,8.267109824794279e-05,0.03718046928968346,8.644843137107063e-05,D,42,,,,,,,,,,,,,,
24,0.03189592756571596,0.031823592746750624,7.233475881683558e-05,0.034465364100444214,8.535533905932742e-05,D,42,,,,,,,,,,,,,,
25,0.0320507771876957,0.03198720063261117,6.357657296146418e-05,0.03686859227651567,8.422735529643448e-05,D,42,,,,,,,,,,,,,,
26,0.031558218149192026,0.03148552817121695,7.268995058253361e-05,0.03889604232094267,8.306559326618263e-05,D,42,,,,,,,,,,,,,,
27,0.03112496992282011,0.03105566643313631,6.930347002087168e-05,0.03577798171655128,8.187119948743452e-05,D,42,,,,,,,,,,,,,,
28,0.03114408098474632,0.031077909810272485,6.617117360169171e-05,0.03525566071467964,8.064535268264887e-05,D,42,,,,,,,,,,,,,,
29,0.031088674108072985,0.031021108995659644,6.756512299256446e-05,0.033233313746096796,7.938926261462371e-05,D,42,,,,,,,,,,,,,,
30,0.02994369788643454,0.029879479007862295,6.421895111061255e-05,0.03526232666090915,7.810416889260659e-05,D,42,0.7045436849218819,1.0,0.62711783852599,0.7039919190082131,0.5600513635956218,0.5722520954641056,0.6616468551383502,0.7022613475001462,0.648661672882525,0.6017918366112305,0.2175587147062126,0.7135969450400992,0.852271842460941,0.6008930588472494
31,0.030338125220392986,0.030274318667066296,6.380655649360251e-05,0.039889375074652206,7.679133974894988e-05,D,42,,,,,,,,,,,,,,
32,0.028858425151007144,0.028795968750833373,6.245641295855716e-05,0.03912002788039676,7.545207078751862e-05,D,42,,,,,,,,,,,,,,
33,0.028872947865485124,0.028813606979209556,5.9340893422063745e-05,0.03724532732249875,7.408768370508582e-05,D,42,,,,,,,,,,,,,,
