chunk_idx,obs_start,hardness_raw,hardness_norm,group
3543,4622,0.43587846,0.0,easiest_20
3544,4623,0.4377112,0.00019481068,easiest_20
3545,4624,0.4890898,0.005656045,easiest_20
3542,4621,0.50522625,0.0073712543,easiest_20
3546,4625,0.55902314,0.01308954,easiest_20
3547,4626,0.6385446,0.021542195,easiest_20
3541,4620,0.640183,0.021716343,easiest_20
11558,15118,0.6738727,0.02529736,easiest_20
11108,14620,0.6805854,0.026010877,easiest_20
18713,23809,0.6929203,0.027322007,easiest_20
18714,23810,0.69526464,0.027571194,easiest_20
11557,15117,0.6989727,0.027965339,easiest_20
11556,15116,0.70236206,0.028325606,easiest_20
11107,14619,0.7056135,0.028671214,easiest_20
18711,23807,0.70833933,0.028960954,easiest_20
7916,10301,0.710216,0.02916043,easiest_20
10312,13696,0.7169111,0.02987208,easiest_20
10313,13697,0.71858454,0.03004996,easiest_20
18710,23806,0.7246502,0.030694703,easiest_20
7915,10300,0.72628665,0.030868646,easiest_20
15089,19460,8.172054,0.822309,hardest_20
15094,19465,8.203859,0.82568973,hardest_20
14083,18082,8.238007,0.82931936,hardest_20
14074,18073,8.245015,0.83006436,hardest_20
15090,19461,8.316429,0.83765525,hardest_20
9493,12669,8.437964,0.85057366,hardest_20
15091,19462,8.479178,0.8549544,hardest_20
9496,12672,8.51751,0.8590289,hardest_20
15093,19464,8.538586,0.86126906,hardest_20
9495,12671,8.655449,0.87369096,hardest_20
9494,12670,8.657815,0.87394243,hardest_20
14082,18081,8.706717,0.8791404,hardest_20
15092,19463,8.713173,0.87982666,hardest_20
14075,18074,8.969641,0.9070876,hardest_20
14081,18080,9.218351,0.9335241,hardest_20
14076,18075,9.435319,0.9565864,hardest_20
14080,18079,9.691758,0.9838444,hardest_20
14077,18076,9.693734,0.98405445,hardest_20
14078,18077,9.764633,0.99159056,hardest_20
14079,18078,9.843748,1.0,hardest_20
