chunk_idx,obs_start,hardness_raw,hardness_norm,group
3799,4622,0.43587846,0.0,easiest_20
3800,4623,0.4377112,0.00019481068,easiest_20
3801,4624,0.4890898,0.005656045,easiest_20
3798,4621,0.50522625,0.0073712543,easiest_20
3802,4625,0.55902314,0.01308954,easiest_20
3803,4626,0.6385446,0.021542195,easiest_20
3797,4620,0.640183,0.021716343,easiest_20
12086,15118,0.6738727,0.02529736,easiest_20
11636,14620,0.6805854,0.026010877,easiest_20
18982,23809,0.6929203,0.027322007,easiest_20
18983,23810,0.69526464,0.027571194,easiest_20
12085,15117,0.6989727,0.027965339,easiest_20
12084,15116,0.70236206,0.028325606,easiest_20
11635,14619,0.7056135,0.028671214,easiest_20
18980,23807,0.70833933,0.028960954,easiest_20
8066,10301,0.710216,0.02916043,easiest_20
10840,13696,0.7169111,0.02987208,easiest_20
10841,13697,0.71858454,0.03004996,easiest_20
18979,23806,0.7246502,0.030694703,easiest_20
8065,10300,0.72628665,0.030868646,easiest_20
15409,19460,8.172054,0.822309,hardest_20
15414,19465,8.203859,0.82568973,hardest_20
14401,18082,8.238007,0.82931936,hardest_20
14392,18073,8.245015,0.83006436,hardest_20
15410,19461,8.316429,0.83765525,hardest_20
9925,12669,8.437964,0.85057366,hardest_20
15411,19462,8.479178,0.8549544,hardest_20
9928,12672,8.51751,0.8590289,hardest_20
15413,19464,8.538586,0.86126906,hardest_20
9927,12671,8.655449,0.87369096,hardest_20
9926,12670,8.657815,0.87394243,hardest_20
14400,18081,8.706717,0.8791404,hardest_20
15412,19463,8.713173,0.87982666,hardest_20
14393,18074,8.969641,0.9070876,hardest_20
14399,18080,9.218351,0.9335241,hardest_20
14394,18075,9.435319,0.9565864,hardest_20
14398,18079,9.691758,0.9838444,hardest_20
14395,18076,9.693734,0.98405445,hardest_20
14396,18077,9.764633,0.99159056,hardest_20
14397,18078,9.843748,1.0,hardest_20
